get,parameters.season,parameters.team,results,response.id,response.league,response.season,response.date.start,response.date.end,response.date.duration,response.stage,response.status.clock,response.status.halftime,response.status.short,response.status.long,response.periods.current,response.periods.total,response.periods.endOfPeriod,response.arena.name,response.arena.city,response.arena.state,response.arena.country,response.teams.visitors.id,response.teams.visitors.name,response.teams.visitors.nickname,response.teams.visitors.code,response.teams.visitors.logo,response.teams.home.id,response.teams.home.name,response.teams.home.nickname,response.teams.home.code,response.teams.home.logo,response.scores.visitors.win,response.scores.visitors.loss,response.scores.visitors.series.win,response.scores.visitors.series.loss,response.scores.visitors.linescore.0,response.scores.visitors.linescore.1,response.scores.visitors.linescore.2,response.scores.visitors.linescore.3,response.scores.visitors.points,response.scores.home.win,response.scores.home.loss,response.scores.home.series.win,response.scores.home.series.loss,response.scores.home.linescore.0,response.scores.home.linescore.1,response.scores.home.linescore.2,response.scores.home.linescore.3,response.scores.home.points,response.timesTied,response.leadChanges,response.nugget
,,,,12802,standard,2023,2023-11-29T00:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Madison Square Garden,New York,NY,,5,Charlotte Hornets,Hornets,CHA,https://upload.wikimedia.org/wikipedia/fr/thumb/f/f3/Hornets_de_Charlotte_logo.svg/1200px-Hornets_de_Charlotte_logo.svg.png,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,0,0,0,0,16,28,22,25,91,0,0,0,0,29,24,27,35,115,,,
,,,,12816,standard,2023,2023-12-01T00:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Madison Square Garden,New York,NY,,10,Detroit Pistons,Pistons,DET,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Logo_of_the_Detroit_Pistons.png/300px-Logo_of_the_Detroit_Pistons.png,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,0,0,0,0,17,37,33,25,112,0,0,0,0,31,23,31,33,118,,,
,,,,12824,standard,2023,2023-12-02T00:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Scotiabank Arena,Toronto,ON,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,0,0,0,0,34,23,33,29,119,0,0,0,0,26,31,20,29,106,,,
,,,,12845,standard,2023,2023-12-12T00:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Madison Square Garden,New York,NY,,38,Toronto Raptors,Raptors,TOR,https://upload.wikimedia.org/wikipedia/fr/8/89/Raptors2015.png,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,0,0,0,0,35,25,37,33,130,0,0,0,0,35,31,32,38,136,,,
,,,,12866,standard,2023,2023-12-14T02:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Delta Center,Salt Lake City,UT,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,40,Utah Jazz,Jazz,UTA,https://upload.wikimedia.org/wikipedia/fr/3/3b/Jazz_de_l%27Utah_logo.png,0,0,0,0,31,19,34,29,113,0,0,0,0,22,30,37,28,117,,,
,,,,12881,standard,2023,2023-12-16T03:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Footprint Center,Phoenix,AZ,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,28,Phoenix Suns,Suns,PHX,https://upload.wikimedia.org/wikipedia/fr/5/56/Phoenix_Suns_2013.png,0,0,0,0,31,32,34,42,139,0,0,0,0,30,38,31,23,122,,,
,,,,12891,standard,2023,2023-12-17T03:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,crypto.com Arena,Los Angeles,CA,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,16,LA Clippers,Clippers,LAC,https://upload.wikimedia.org/wikipedia/fr/d/d6/Los_Angeles_Clippers_logo_2010.png,0,0,0,0,33,33,32,24,122,0,0,0,0,35,42,37,30,144,,,
,,,,12907,standard,2023,2023-12-19T03:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,crypto.com Arena,Los Angeles,CA,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,17,Los Angeles Lakers,Lakers,LAL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Los_Angeles_Lakers_logo.svg/220px-Los_Angeles_Lakers_logo.svg.png,0,0,0,0,35,22,33,24,114,0,0,0,0,27,31,22,29,109,,,
,,,,12916,standard,2023,2023-12-21T00:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Barclays Center,Brooklyn,NY,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,4,Brooklyn Nets,Nets,BKN,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brooklyn_Nets_newlogo.svg/130px-Brooklyn_Nets_newlogo.svg.png,0,0,0,0,32,28,30,31,121,0,0,0,0,20,31,26,25,102,,,
,,,,12936,standard,2023,2023-12-23T17:30:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Madison Square Garden,New York,NY,,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,0,0,0,0,36,26,38,30,130,0,0,0,0,27,27,33,24,111,,,
,,,,12949,standard,2023,2023-12-25T17:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Madison Square Garden,New York,NY,,21,Milwaukee Bucks,Bucks,MIL,https://upload.wikimedia.org/wikipedia/fr/3/34/Bucks2015.png,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,0,0,0,0,27,24,36,35,122,0,0,0,0,36,26,36,31,129,,,
,,,,12967,standard,2023,2023-12-28T01:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Paycom Center,Oklahoma City,OK,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,25,Oklahoma City Thunder,Thunder,OKC,https://upload.wikimedia.org/wikipedia/fr/thumb/4/4f/Thunder_d%27Oklahoma_City_logo.svg/1200px-Thunder_d%27Oklahoma_City_logo.svg.png,0,0,0,0,25,35,29,31,120,0,0,0,0,38,31,24,36,129,,,
,,,,12977,standard,2023,2023-12-30T00:00:00.000Z,,,2,,FALSE,3,Finished,4,4,FALSE,Amway Center,Orlando,FL,,24,New York Knicks,Knicks,NYK,https://upload.wikimedia.org/wikipedia/fr/3/34/Knicks_de_NY.png,26,Orlando Magic,Magic,ORL,https://upload.wikimedia.org/wikipedia/fr/b/bd/Orlando_Magic_logo_2010.png,0,0,0,0,29,15,30,34,108,0,0,0,0,26,29,31,31,117,,,
